,perusahaan,alamat,telepon,email,status,persentase,estimasi bulan,sektor_usaha,group/retail,trainer
74,Hutama Karya Infrastruktur,"1768 Karina Village
North Jasonmouth, WA 55266",873.774.0176,ashley84@example.com,Closing,100,16-17 Feb 21,industri,retail,Extrnal (Martoyo & Nanang)
75,MPM Finance,"24846 Elizabeth Lake
Aliceburgh, MN 85103",+1-759-248-0080x026,ryan10@example.com,Closing,100,23 Februari 21,pariwisata,group,Ext
76,Bank Of CHina,"259 Alyssa Road Suite 636
Wolfville, MO 87338",484-719-6162,wwall@example.net,Closing,100,23 Februari 21,finansial,retail,Ext
77,Bank Mestika Dharma (Tim Procurement),"44906 Andrew Points
Barbaraberg, TN 09158",904.622.4151x69995,james64@example.org,Closing,100,23 Februari 21,perdagangan,group,Ext
78,Bank Mestika Dharma (Tim Procurement),"USNS Howard
FPO AE 83172",652.215.8214,jasonnorris@example.com,Closing,100,23 Februari 21,pertambangan,retail,Ext
79,PP (Persero) Tbk,"94184 Bridges Pine
Cindyport, GU 72084",531-223-9335x9023,ajohnson@example.net,Closing,100,23 Februari 21,teknologi,group,Ext
80,BPRS HIK Cibitung,"269 Donna Highway Suite 734
Timothyberg, TX 31910",895.245.0885,josephmedina@example.com,Closing,100,26-27 Februari 2021,jasa,retail,Ext
81,SK Consulting,"Unit 1885 Box 8358
DPO AA 08497",001-955-825-2296x3491,noahthompson@example.org,Closing,100,6 Februari 2021,perbankan,group,AL
82,TACO,"413 Eddie Plaza Apt. 338
New Melissa, KY 21164",512-935-7233,jeffery60@example.net,Closing,100,Januari/ Februari 2021,perdagangan,group,AL & BN
83,Jasaraharja Lampung,"PSC 9640, Box 8960
APO AA 93349",001-739-651-6152x3204,patriciajones@example.net,Closing,100,Q 1 - 2021,perbankan,retail,AL/BN
84,MPM Finance,"2377 Benjamin Station Apt. 151
East Heather, NC 47920",(443)517-3325,amy77@example.net,Closing,100,Q 1 - 2021,pertambangan,group,Ext
85,Bank Of China,"49618 Peter Cape Suite 616
Port Maxville, NV 61213",+1-217-758-2679x4177,fletcheralejandro@example.org,Closing,100,Q 1 - 2021,teknologi,retail,AL
86,Kereta Cepat Indonesia China (KCIC),"0265 Jacobs Club
New Ashley, IA 67253",257.236.3147x9079,ikelly@example.com,Closing,100,Februari 2021,pariwisata,retail,Ext
87,CSUL,"36904 Stephanie Greens Suite 170
Jamesview, WV 34502",542.695.5767,sheila06@example.net,Closing,100,Januari 2021,perbankan,retail,Ext
88,BPRS Dhinar Asri,"23270 Sarah Spurs
West Travis, AR 17940",317-485-3077x59185,markwebb@example.com,Closing,100,Februari 2021,finansial,retail,Ext/AL
89,Indonesia  Teijin Dupont,"Unit 2701 Box 4679
DPO AP 11082",(948)583-8672x3662,qdoyle@example.com,Closing,100,Semester 1 2021,teknologi,retail,Ext
90,Hyundai Motors Indonesia,"43479 King Mill
Whiteland, FM 50135",+1-965-715-4987x94022,karenbarnes@example.com,Closing,100,Februari 2021,teknologi,retail,BN/AL/IM
91,Indowire Prima Industrindo,"Unit 5948 Box 3603
DPO AE 58707",967-564-0314,mayoeric@example.com,Closing,100,Februari 2021,teknologi,group,Ext
92,Indowire Prima Industrindo,"7239 Barton Glens
Port Patriciafort, AL 52419",285.429.8024x88147,jamesfreeman@example.net,Closing,100,Februari 2021,teknologi,retail,Ext
93,Hutama Karya Infrastruktur,"543 Frank Walks Apt. 756
Fieldsborough, ME 56791",001-756-939-7735x044,michaelhuffman@example.com,Closing,100,Februari 2021,jasa,retail,Ext
94,Bank Of CHina,"0499 Sanchez Light Suite 369
Port Alexandraport, VI 43888",430.806.7897x549,williamgraham@example.net,Closing,100,23 Februari 2021,jasa,group,Ext
95,MPM Finance,"533 Sarah Plain Apt. 153
Port Davidborough, DC 18287",+1-678-465-0979x5198,sshepherd@example.org,Closing,100,Q1 - 2021,pertambangan,retail,Ext
96,Bank Sumut,"00332 Lee Vista Suite 525
Jeffside, NH 99320",001-753-350-3670x2572,gnelson@example.com,Closing,100,Semester 1 2021,finansial,group,BN/AL/IM
97,Frisan Flag Indonesia,"15577 Russell Circles Apt. 363
North Tammy, WI 64878",(473)498-8559x65833,hallamanda@example.net,Closing,100,Februari 2021,jasa,group,HH
98,BI Institute,"06607 Cynthia Squares
Kevinshire, MN 77717",986.500.0151,icannon@example.net,Closing,100,Maret 2021,teknologi,group,Ext & BN
99,BPRS HIK Cibitung ,"3798 Ann Route
West Wendy, IN 12847",494-309-1338x50320,riveracrystal@example.net,Closing,100,Q1-Q3 2021,pertambangan,group,"AL, Ext, BN/IM"
100,Bank Fama International,"112 Martinez Mall Apt. 516
New Jenna, VT 82402",(924)931-6249,wrightleslie@example.org,Closing,100,Februari 2021,pariwisata,retail,BN/DP
101,ACA,"497 Scott Mountains Suite 597
South Connie, MI 77805",001-839-707-2900x38834,muellerjennifer@example.org,Closing,100,Februari 2021,perbankan,group,AL/BN/IM
102,Kobexindo,"PSC 2326, Box 5305
APO AA 84835",810-502-0923x244,michaeljames@example.net,Closing,100,Q1 - 2021,teknologi,group,AL
103,Medion,"6379 Kimberly Point
North Antonioborough, VT 26546",001-546-339-9404x51204,jilliangallagher@example.org,Closing,100,Q 1 - 2021,perbankan,retail,NT
104,HK Metals Utama,"256 Castro Road Suite 707
Parsonsbury, NY 41133",+1-434-327-8064x427,bchan@example.com,Closing,100,Februari 2021,pertambangan,retail,BN/AL/IM
105,Sharp Electronics,"3047 James Branch
Lake Sarah, DE 36724",001-716-275-7930x93664,nortonrobyn@example.org,Closing,100,Januari 2021,perdagangan,group,BN/AL/IM
106,Bank BTN ,"5042 Brent Mews
Carsonton, MS 46991",+1-645-226-9835x1318,srobinson@example.com,Closing,100,Februari 2021,perdagangan,group,AL/BN/IM
107,Campina Ice Cream,"61332 Heather Camp Suite 992
Paulfort, TN 96074",+1-543-776-8377x85402,farrelljuan@example.org,Closing,100,Akhir Semester 1 atau Semester 2 ,teknologi,retail,AL/BN/IM
108,Bank BTN ,"17487 Wall Underpass
Lake Lisachester, AR 59662",731-738-6692x3696,brianstuart@example.com,Closing,100,Semester 1,perdagangan,group,BN/DP
109,Bank BTN ,"42544 Paul Streets Apt. 579
Myersfort, DC 26033",6726809678,kevinsalas@example.net,Closing,100,Semester 1,industri,retail,BN/DP
110,Indospring ,"8703 Meza Manors
Allenshire, KY 33976",6124167318,xbutler@example.org,Closing,100,2021-02-01 00:00:00,jasa,group,AL
111,Keb Hana,"Unit 5625 Box 4365
DPO AA 10146",001-421-515-3713x78934,burgesskimberly@example.com,Closing,100,Akhir Feb,perdagangan,group,FD/DP
112,Syncrum Logistic,"03465 Ray Square Apt. 056
South Nicoleview, MH 66824",(716)559-4086,christopher97@example.net,Closing,100,Feb/Maret,perbankan,retail,FD/DP
113,BI Babel,"4927 James Well Apt. 333
West Ericaberg, HI 21220",799-758-4677,chadodom@example.net,Closing,100,Q 1 - 2021,industri,group,NT
114,BI Purwokerto,"152 Jones Vista Suite 505
Port Michael, AR 40204",(334)227-3495x32784,richardallen@example.net,Closing,100,Q 1 - 2021,teknologi,retail,HH
115,Artha Prima Finance,"098 Cannon Canyon Apt. 118
New Joseph, MP 41572",499.513.3630,rebecca70@example.net,Closing,100,Q 1 - 2021,pariwisata,retail,Ext
116,Asuransi Raksa Pratikara,"361 Richard Wall Suite 527
West Charlene, LA 73906",970.463.8106x8172,brandon88@example.com,Closing,100,Q 1 - 2021,perdagangan,retail,Ext
117,Pro Car International Finance,"83592 Phillips Hill Suite 848
West Kathrynmouth, CO 66690",934-275-3947,alyssathomas@example.org,Closing,100,Q 1 - 2021,jasa,retail,"Ext, BN, AL"
118,BPRS Dhinar Asri,"031 Rhodes Underpass
Jenkinsmouth, NH 15299",+1-419-338-8829,watkinspamela@example.net,Closing,100,Februari 2021,perbankan,group,BN/AL/IM
119,BTM Muhammadiyah,"98142 Cruz Pine
South Paige, AK 44847",+1-759-699-0591x7481,shannonpatel@example.net,Closing,100,Q 1 - 2021,pariwisata,group,BN/AL/IM
120,Palyja,"98390 Jeremy Isle Apt. 062
North Louis, FL 61389",696.313.5689,arogers@example.org,Closing,100,Q 1 - 2021,industri,retail,BN/AL/IM
121,BPRS Amanah Ummah,"5369 Wagner Mill Suite 216
New Makaylaside, MP 93396",+1-644-448-9146,carpenterkatherine@example.org,Closing,100,Q 1 - 2021,pertambangan,group,BN/AL/IM
122,BPD Papua,"82044 Perry Neck Suite 017
East Lisaland, MH 59429",+1-815-878-8883x670,stonejoseph@example.net,Closing,100,Semester 1 & 2- 2021,perbankan,retail,BN/AL/IM/ ext
123,BPD Papua,"88802 Pitts Course
Port Elizabeth, IA 22297",(890)664-6053x9920,swilliams@example.net,Closing,100,Semester 1 & 2- 2021,industri,group,Ext
124,BPD SULUT GO,"34019 Tony Common
Port Tiffanyburgh, AL 78687",766-309-7139x946,tammysalinas@example.net,Closing,100,Februari minggu ke 3 ,teknologi,group,Ext
125,Hyundai Motors Indonesia,"84301 Raymond Cliff
South Raymondborough, VT 67681",779.364.9288x445,hgilbert@example.org,Closing,100,Feb Minggu ke 4,pariwisata,group,AL
126,Hino Motor Sales Indonesia,"234 Todd Centers Apt. 072
Shannonhaven, MA 21276",360.399.0178x2438,michaelreed@example.com,Closing,100,2021-02-01 00:00:00,perbankan,group,AL
127,Mitsubishi Chemica Indonesia,"557 Johnson Shoal
Taylorport, SC 73912",(302)776-8373x491,zwilliams@example.org,Closing,100,11-15 Februari,pertambangan,retail,AL/BN/IM
128,Futaba,"203 Ayala Crest
East Stephanie, CO 76350",249-797-7438,kaitlinwalker@example.org,Closing,100,Q 1 - 2021,finansial,group,BN//AL/IM
129,Sarana  Multi Infrastruktur (SMI),"84764 Vasquez Alley Apt. 128
Gonzalezmouth, NC 41349",2427456882,iadams@example.net,Closing,100,Q 1 - 2021,perdagangan,retail,NT
130,Asuransi Cigna,"4246 Choi Valleys Apt. 379
West Melanie, NC 85229",(580)589-9967x449,barry09@example.net,Closing,100,Q 1 - 2021,perbankan,retail,BN//AL/IM
131,Futaba,"983 Troy Forges
New Carolland, AZ 37100",630.319.2035x95709,bruce16@example.com,Closing,100,Q1 2021,perbankan,retail,AL
132,Pama Persada,"89696 Sandra Pike Apt. 063
South Aaronview, VA 84397",(704)801-6740,markball@example.com,Closing,100,Q1 2021,jasa,group,AL/BN/IM
133,Mizuho Balimore Finance,"3681 Veronica Islands
East Davidborough, DC 66522",703-554-1962x34934,monteschristopher@example.org,Closing,100,Q 1 - 2021,teknologi,retail,"DP,BN"
134,Assa Rent,"90067 Jones Circles
Donaldbury, AS 26907",912.306.4213x6482,johnathan44@example.net,Closing,100,Q 1 - 2021,perbankan,group,External
135,BPD Kaltim,"6636 Medina Parkway
East Rachel, NC 34942",+1-763-742-1316x43664,bbarnett@example.com,Closing,100,Q 1 - 2021,finansial,group,"DP,BN"
136,BPRS Buana Mitra Perwira – Purbalingga,"503 Sarah Street Apt. 164
Thompsonbury, ID 66796",993.576.4926,owalker@example.com,Closing,100,Q 1 - 2021,perdagangan,group,BN/AL
137,BPD Kaltim,"46847 Lowery Well Suite 679
Port Cynthiafurt, KS 78769",471-761-9787x1086,lisa40@example.org,Closing,100,2021-02-01 00:00:00,jasa,retail,BN/AL/ External
138,Bank Syariah Patriot,"636 Arnold Unions Suite 860
Kristamouth, ND 88517",961-586-8113,brian47@example.net,Closing,100,Januari 2021,jasa,group,BN/DP
139,Kospin Jasa,"7393 Todd Springs
New Patricia, CO 24043",001-218-216-1104x39480,ahall@example.com,Closing,100,Akhir januari,perbankan,retail,External
140,Surveyor Indonesia,"32570 Davis Terrace
Rachaelmouth, OR 68446",001-926-937-7808x1458,erin35@example.com,Closing,100,Maret 2021,finansial,retail,HH
141,BPRS Rahma Syariah,"0919 Patterson View Apt. 315
Georgeton, NJ 02366",+1-509-594-2260x23010,santosjessica@example.net,Closing,100,2021-02-01 00:00:00,industri,retail,DP
142,Jasaraharja DKI Jakarta,"41198 Ferguson Garden
Matthewborough, IA 26231",636-565-1072x393,billy04@example.net,Closing,100,2021-04-08 00:00:00,perbankan,group,BW
143,Bank Mega,"2639 Yolanda View
North Charlesland, NH 59599",+1-706-418-1395x240,monica51@example.com,Closing,100,"09-10 April 2021 (2Batch),16-17 April 2021 (1Batch),23-24 April 2021 (2 batch)",pariwisata,group,"DP,BN & AL"
144,Kementrian Agama ,"8753 Leblanc Ville
Port Sarah, TN 75048",416-928-3205,qtaylor@example.com,Closing,100,06-07 April,teknologi,group,HH
145,BPRS HIK,"02279 Mariah Circles Suite 123
Heathertown, WA 20555",500-985-6902x14512,jenniferkennedy@example.net,Closing,100,28-30 April 21,teknologi,retail,"RL,SH"
146,Mitsui Leasing Capital Indonesia,"1195 Tina Flats Suite 933
North Nicoleberg, WV 05422",(423)684-3856,collinsbeverly@example.com,Closing,100,28-30 April 21,pariwisata,group,"RL,SH"
147,Sarana Multi Infrastruktur,"326 Jennifer Pines
North Elizabethton, NV 77525",857-206-7595,cwilliams@example.com,Closing,100,28-30 April 21,teknologi,retail,"RL,SH"
148,Bank Mega,"66468 Jamie Pass Apt. 019
West Samanthamouth, MS 34743",346.953.7282x17817,tommy45@example.com,Closing,100,Februari 2021,perbankan,retail,DP/BN
149,BPRS HIK Cibitung,"023 Lewis Islands
Dylanbury, CT 85787",001-356-725-5940,simsraymond@example.net,Closing,100,26-27 Februari 2021,jasa,group,Ext
150,SK Consulting,"528 Mueller Tunnel Apt. 316
Lake Jaime, IA 99729",001-874-716-1115,rsanchez@example.com,Closing,100,6 Februari 2021,pariwisata,group,AL
151,TACO,"Unit 6083 Box 5675
DPO AP 26996",807.205.0881x60321,cwatkins@example.org,Closing,100,Januari/ Februari 2021,perbankan,retail,AL & BN
152,Jasaraharja Lampung,"Unit 1373 Box 4160
DPO AA 66590",(364)426-5694x54241,smithjoseph@example.net,Closing,100,Q 1 - 2021,perbankan,retail,AL/BN
153,MPM Finance,"773 Ana Hills
Edwardborough, AR 08919",(551)290-8942x8427,taylordavid@example.com,Closing,100,Q 1 - 2021,finansial,retail,Ext
154,Bank Of China,"4032 Thomas Groves
Port Morgan, MD 30179",492-416-9239x54897,pking@example.org,Closing,100,Q 1 - 2021,jasa,retail,AL
155,Kereta Cepat Indonesia China (KCIC),"897 Hill Mills Apt. 573
Williamfurt, GA 42386",+1-952-811-3880x6003,steven49@example.net,Closing,100,Februari 2021,jasa,group,Ext
156,CSUL,"5520 Lamb Rest Apt. 530
Port Kennethfurt, NH 05960",962.653.2393x93599,weavererin@example.net,Closing,100,Januari 2021,pertambangan,retail,Ext
157,BPRS Dhinar Asri,"PSC 7657, Box 0577
APO AP 90194",001-756-775-1221x77524,michaelvaldez@example.net,Closing,100,Februari 2021,perbankan,retail,Ext/AL
158,Indonesia  Teijin Dupont,"9597 Harrison Isle
West Heathermouth, MN 35906",(270)574-6836,courtney55@example.com,Closing,100,Semester 1 2021,pertambangan,group,Ext
159,Hyundai Motors Indonesia,"22879 Petty Meadows
Lake Veronica, PW 16388",(668)414-4691,russell57@example.com,Closing,100,Februari 2021,teknologi,group,BN/AL/IM
160,Indowire Prima Industrindo,"3418 Juan Squares Apt. 171
Christianbury, ID 79907",001-205-472-9294x88791,ilopez@example.org,Closing,100,Februari 2021,jasa,group,Ext
